Title,Sponsor,Submission Deadline,Award Amount,Description
Postdoc Fellowship - Nanotechnology Research Network,Sponsor: Jimma University,"Engineering, Chemistry, Physics, Science and Technology","25,000","Nanotechnology Research Network is a project organized by the National Institute of Arts & Sciences and American Nano Society for activating research groups in different universities and connect them through joint projects. An active group is located in Department of Materials Science & Engineering at Jimma University, Ethiopia. The group is chaired by Professor Ali Eftekhari, President of the American Nano Society. 

We have a unique strategy in leading the team. Thus, please carefully read the job description before applying. 


* This is part of a chair system in which assistant/associate professors work under supervision of a chair, and you will be officially appointed as an assistant or associate professor. This is indeed equivalent to the modern postdoc model in the United States and other countries. 

* You will work in a team of 15 - 20 postdoc fellows coming from different countries. 

* Due to the team structure, flexibility to be supervised is one of the main criteria. 

* Contrary to many postdoc fellowships, the present position is not focused on a specific research project. Instead, the postdoc fellows are involved in different tasks from research to academic affairs. The main theme is to empower the team members with various academic skills. 

* The postdoc fellows should necessarily start to work on a new research topic (different from their past experiences), and normally involved in literature review during the first six months. The goal is to publish review article or book. 

* The department is quite young, and you are part of the team developing the department. While initiatives have potential opportunities and excellent experiences for academic career, everything is not perfect. 

* We are looking for people who are ambitious and want to take this step as a jump in his/her academic career (e.g., appointment at top universities). There is no room for people who are interested in routine jobs for today. 

* A significant part of this position is teaching duties. 

* Each member should be committed to the team promotion internationally. Skills for networking are critically important. 

* The salary is about $24,000 - $30,000, which is quite high considering the cost of living (i.e. four times higher than local full professors). Housing and flights will be covered. On the other hand, we are looking for those who are interested in the potentials of this position rather than a routine job with high salary. 

* Jimma city is probably different from your imagination about Africa. The nature is greener than Europe, and the weather is always at excellent condition (18 - 25 C).


Application submitted from the present page will be considered only!
View the link below."
$500 Level Summer Enrichment Fellowships,Sponsor: Abbey Road Programs INC,"Cultural Studies, Education, ESL & English Language, Culinary Arts and Languages/Linguistics",$500,"Summer Enrichment Fellowships are Abbey Road’s most popular Student Ambassador award. Designed to promote study abroad and cross-cultural awareness through student stories and images, fellowship recipients are given a personal program blog to update during the summer, cataloging their program experiences. Outstanding contributors are profiled and their work showcased on the Abbey Road website. Abbey Road awards 3-5 Summer Enrichment Fellowships per summer program."
"$1,000 Level Summer Scholarships",Sponsor: Abbey Road Programs INC,"Cultural Studies, Education, ESL & English Language, Culinary Arts, Languages/Linguistics and Fine Arts",$500,"Abbey Road offers five $1,000 student scholarships annually, one in each of the categories listed below. Scholarship categories are divided by language and academic subject and scholarship recipients must demonstrate outstanding academic performance and commitment to their chosen subject at the time of application. Students must be sure the Student Scholarship they are applying for is applicable to their Abbey Road program of interest.
French Language Scholarship: Aix-en-Provence, Nice, St-Laurent-du-Var
Spanish Language Scholarship: Cádiz, Barcelona
Italian Language/Cultural Studies Scholarship: Florence
Studio Art/Art History Scholarship: Barcelona, Florence
International Studies Scholarship: Leadership Academy, Modern Civilization, Western Civilization
Eligibility
In order to be considered for a Summer Fellowship or Scholarship, you must be a high school student aged 14-18 who demonstrates high academic and extracurricular performance in the field for which you are applying. A competitive overall G.P.A, strong grades in the subject related to the scholarship or program of interest and involvement in extracurricular and after-school cultural/leadership activities are all examples of high academic and extracurricular performance."
Master in International Security Studies (MISS),"Sponsor: Faculty of Social Sciences, Charles University in Prague","Public Administration, History, Liberal Arts/Humanities, Political Science and Geography",Not available,"Master in International Security Studies (MISS) is a two-year English-language Master's degree program, which offers students a complex guide through security, conflict and strategic studies in the context of international relations. It is taught at prestigious Charles University in Prague, the oldest and the largest university in Prague.

MISS promotes a progressive approach to teaching which, among other things, includes reducing class sizes and an emphasis on seminars.  The pedagogical instructors aim to conduct their classes through presentations, discussions or simulations incorporating students, rather than through a one-sided monologue of facts which can be acquired by other means.  This logically requires thorough preparation on the part of the student outside the class through extensive reading of the course texts.  The main goal of this is to streamline the teaching process through actively involving the students in class and making it possible for them to present their opinions on and understandings of the material.

Graduates of the program are prepared to pursue careers in security-related posts in government offices and public administration, international organizations, NGOs and transnational corporations.

Requirements:
The Master in International Security Studies is open only to students who have already completed (or are about to complete) a Bachelor's degree.
English-language ability. It is assumed that applicants will have a sufficient knowledge of English to attend classes and write papers in English. Although we welcome TOEFL and IELTS, they are not necessarily a condition of entry. A real ability to study in English is more important.

Tuition fees for the Master in International Security Studies program are set at 3,000 Euro per semester, payable at the start of each semester. 
Thanks to a generous contribution from the Czech Ministry of Education, Youth and Sport, the Faculty of Social Sciences is able to offer a limited number of partial scholarships for students of the English-taught programs. The scholarships are earmarked for students from developing countries and/or countries going through a process of political and economic transition."
International P.L.U.S.,Sponsor: Tomsk Polytechnic University,"Biology/Life Sciences, Computer & Information Systems, Engineering, Mathematics, Chemistry...","100,000 RUR=$2,800USD",The fellowship is open for international Ph.D. students (besides CIS countries) who come to taught course(s) or research internship to TPU.
TUMS School of Dentistry Scholarship,Sponsor: School of Dentistry,Unrestricted,"$4,643 U.S. Dollar / Year","When Dar-Ol-Fonon was founded in 1894, dentistry was taught as a sub-branch of medicine at the same school. After establishing Tehran University in 1934, dentistry separated as an independent school. TUMS School of Dentistry is the foremost dental center in Iran with an international reputation of scholarly activities in both clinical and biological sciences. According to the national ranking, TUMS School of Dentistry is the first School out of the 45 dental schools of the country. Our School as a professional educational institution offers a full range of academic courses, including a comprehensive undergraduate program and postgraduate programs in collaboration with highly experienced faculty members through proper facilities and the most advanced methods.
..............................................................................................................................................................................................
TUMS School of Dentistry accepts international students in the following programs:
..............................................................................................................................................................................................
Undergraduate Programs:
((- Doctor of Dental Surgery            D.D.S.	     6 years	7,500(U.S. $) / year))
((- Dental Laboratory Technician     B.Sc.	     4 years	3,000(U.S. $) / year))
((- Dental Technician                       A.S.	     2 years	3,000(U.S. $) / year))
((- Oral Hygiene                               A.S.	     2 years	3,000(U.S. $) / year))
..............................................................................................................................................................................................
Postgraduate Programs:
((- Community Oral Health                                             M.Sc.         Ph.D.))
((- Dental Biomaterials                                                   M.Sc.         Ph.D.))
((- Prosthetic Technology                                              B.Sc.          Ph.D.))
((- Endodontics                                                              Specialty))
((- Microscopic Endodontics                                          Short-Term Courses))
((- Endodontics Surgery                                                Short-Term Courses))
((- Implantology                                                             Short-Term Courses))
((- Laser                                                                        Fellowship))
((- Oral and Maxillofacial Medicine                                 Specialty))
((- Oral Biology                                                              Fellowship))
((- Oral and Maxillofacial Pathology                               Specialty))
((- Oral and Maxillofacial Radiology                               Specialty))
((- Oral and Maxillofacial Surgery                                  Specialty))
((- Cosmetic Oral and Maxillofacial Surgery                   Fellowship))
((- Pediatric Craniofacial Surgery                                  Fellowship))
((- Implant Dentistry Oral and Maxillofacial Surgery      Fellowship))
((- Oral and Maxillofacial Oncology (Surg.)                   Fellowship))
((- Trauma (Maxillofacial)                                              Fellowship))
((- Orthodontics                                                            Specialty))
((- Pediatric Dentistry                                                   Specialty))
((- Hospital Dentistry                                                     Fellowship))
((- Periodontics                                                             Specialty))
((- Implant Dentistry (Periodontics)                               Fellowship))
((- Prosthodontics                                                        Specialty))
((- Implant Dentistry (Prosthodontics)                          Fellowship))
((- Restorative Dentistry                                              Specialty))"
Gender Equality Scholarship-Global College Malta,Sponsor: Global College Malta,Unrestricted,Up to 50%,"Thousands of women are successfully pursuing their education, careers and leadership roles, which until not long ago were completely denied to.  However, even now, women are still more likely to be pouring coffee in the boardrooms rather than sitting on the boards. 


By offering this ‘Leading towards Gender Equality: Scholarship’, Global College Malta (GCM) aims at supporting gender equality in the leadership positions by supporting young leaders to become the next role models empowering women in the business sector. By supporting new leaders (men and women), whose aim is to ensure gender equality, young aspiring women pursuing leadership roles will be further encouraged. As a result, GCM aims at ensuring women emancipation and involvement in high managerial jobs. On these lines, GCM does not discriminate any applicants by their background, race or gender."
International Student Voice Magazine Margaret W. Wong Scholarship,Sponsor: International Student Voice Magazine,Unrestricted,500,"Monday, December 7: Scholarship application available
Friday, January 22: Deadline to apply
Monday, January 25: Finalists announced
Monday, February 1: Winner announced 

The winning essay will be featured in the spring issue of ISV Magazine shipped to nearly 100 different universities in the United States.
 
Scholarship essay question: How will studying in the United States help you achieve your career goals?

Who can apply?
An international student (college/university student on a J1 or F1 visa) studying in the United States during this upcoming academic year. Students can be part time or full time, undergraduate, graduate, or PhD seeking.

Essay Requirements
Minimum one page, no more than two pages
Double spaced
12 point font
Include a title for your essay
Include a header with the following information: first and last name, university, and home country
For example: Carrie Circosta, ISV Magazine University, United States of America 
Include at least one photo of yourself in the essay. You may also include additional photographs that further enhance your essay.

Please submit your essay in a PDF or Microsoft Word format"
Tortuga Backpacks Study Abroad Scholarship,Sponsor: Tortuga Backpacks,Unrestricted,"$1,000","Young people deserve to experience the world beyond their college campuses, but not everyone can afford to travel, especially if you’re on a student budget.

The Tortuga Backpacks Study Abroad Scholarship is awarded biannually to passionate students who want to explore the world.

At Tortuga Backpacks, our mission is to help people take amazing trips, including students studying abroad. We created the scholarship to turn travel gear purchases into funding for students to travel and study abroad."
International Student Tuition Waiver,Sponsor: University of Maine at Orono,Unrestricted,"$10,920 USD",For undergraduate students applying to the University of Maine from outside the United States who have demonstrated academic achievement.
35 PhD Program Scholarships at IMT Institute for Advanced Studies Lucca,Sponsor: IMT Institute for Advanced Studies Lucca,"Business/Management, Computer & Information Systems, Cultural Studies, Engineering, Mathematics...",€13.600 gross/year,"This year's PhD program at IMT Institute for Advanced Studies Lucca
Deadline for applications – June 29th, 6 pm Italian time
To apply please visit the link below.


     
Applications are now being accepted for the 2015/16 PhD program at the IMT Institute for Advanced Studies Lucca.  Highly motivated candidates are invited to apply for one of the 35 fully-funded scholarships within a doctoral program that integrates scientific competences of economics, engineering, computer science, physics, applied mathematics, statistics, history and sciences of cultural heritage.

The three-year program is articulated in 3 field-specific curricula which, in many instances, share a common scientific background. IMT Lucca PhD students will focus their academic experiences in one of the 10 different research units. This concentrated approach enables students to gain the maximum benefit from their time in the program and to effectively prepare themselves to excel in careers in research and academia in their chosen field. Candidates can apply for one (or more) of the following curricula:

•	Computer Science and Systems Engineering (CSSE)
•	Economics, Management and Data Science (EMDS)
•	Analysis and Management of Cultural Heritage (AMCH)"
Law & Justice Scholarship Program,"Sponsor: Davis Law Group, P.S.",Law & Legal Studies and Criminal & Forensic Science,500-1000,"Davis Law Group, P.S. is proud to announce our Law & Justice Scholarship Contest, which will award a total of $2,000 in scholarships to three (3) individual aspiring students in the Law & Justice field.

We will begin accepting submissions on Friday, June 26th. Applicants must be currently enrolled or have been accepted to an accredited college or university by the Fall Term, and be pursuing higher education in one of the following areas of the Law & Justice field:
•	Lawyer;
•	Paralegal;
•	Law Enforcement;
•	and other related careers in the Law & Justice field."
Fellowship: Peace Revolution Central and West Africa Fellowship in Cameroon,Sponsor: Peace Revolution,Unrestricted,variable,"Applications are open now for the first Peace Revolution Central and West Africa Fellowship in Cameroon (19-23 March)

Are you a young African peace activist looking for the key to self-development to help you in your life and work? Would you like to learn how to develop your own inner peace in order to engage more effectively in your peace work?
Peace Revolution once again, offers you the opportunity to develop a strong peace culture based on the principle of Peace In Peace Out. In cognizance of the special need to develop young peace activists who can respond to the needs of the continent, Peace Revolution will once again host an exclusive regional fellowship for countries in Central and West Africa in Cameroon."
Fellowship: Global Peace on the Move in the Caribbean - Jamaica,Sponsor: Peace Revolution,Unrestricted,0,"International Youth Fellowship
The First Global Peace on The Move in the Caribbean, Jamaica 

When: 17 - 30 April
Where: Jamaica
Global Peace on the Move (GPM) is a set of international meditation retreats performed in Thailand, but for the first time, we are moving it to the Caribbean.

The fellowship offers a 14 days intensive training program providing participants with deeper insight in the relationship between inner peace and sustainable world peace and enhancing their ability to create peace within their family, professional and social environment.

Our fellowships also work on the following topics:

Conflict resolution and the role of the basic human self-disciplines
The role of our habits in our daily life and how to improve; the 5 Rooms of life
The factors that determine our perception to think, act and speak; relation between body and mind
Leadership: Eight pillars for a stable peaceful society"
A Travel Grant to Study in Israel at Ben-Gurion University,Sponsor: Ben-Gurion University of the Negev,Unrestricted,A Travel Grant (roundtrip flight NYC-Tel Aviv),"Explore Israel with Ben-Gurion University this summer.
Study abroad in Israel this summer at the #18 ranked University in the QS World University Rankings. Take the BGU Challenge and the analytical challenge, submit a motivational statement and it could be you winning the travel grant for this summer! 

Visit the competition website for more info: http://bit.ly/24rarha"
Bright!Tax Global Scholar Initiative,Sponsor: Bright!Tax,Unrestricted,min $1000 per award,"The Bright!Tax Global Scholar Initiative offers supplemental fees support to young Americans who are currently studying or who would like to study abroad.

Awards are available to all US citizens who study or want to study abroad for at least one full semester at a recognized, accredited academic institution.

The Bright!Tax Global Scholar Initiative will provide scholarships of a minimum of $1000 towards successful applicants' university fees, paid directly to the institution.

Scholarships will be awarded based on academic and extracurricular achievement, community involvement, future ambitions, financial needs and at the discretion of the Bright!Tax Awards Committee.

Awards will be made on an ongoing basis, and applications are now welcomed.

Further details about the Initiative as well as application criteria can be found at http://brighttax.com/scholarships.html.

Bright!Tax is a leading US expat tax services company catering to the estimated 9 million Americans living overseas."
Northwest Merit Scholarship,Sponsor: Northwest Missouri State University,Unrestricted,$1000-$4000,"Scholarship based on student taking SAT or ACT exam (not required for Admission to university). Awards given based on SAT/ACT score and high school GPA.

Award amount range from $1000-$4000 USD. 

Available to all Undergraduate students.

For Transfer Students, must have at least 24 university hours and at least a 3.00 GPA. Award amounts range from $1000-$2500 per year. Renewable based on GPA."
Financial harship award,Sponsor: CollegeProfessor Canada/USA,Unrestricted,0,"This award is for a doctoral student enrolled in one of the following broad areas:

Arts
Humanities
Social Sciences"
Keith Williams Law Group Semi Annual Scholarship,Sponsor: Keith Williams Law Group,Unrestricted,$1500.00,"The Keith Williams Law Group Semi-Annual Scholarship seeks to help students who have fought through adversity in their lives in order to better themselves through education.  Understanding that, for many possible reasons, not everyone has been a straight A student with perfect test scores, we seek to help those who have had difficulty in school and fought through it—whether it be the result of a difficult home life, socio-economic disadvantages, learning disabilities, ethnic/racial/gender or other biases, just plain stubborn orneriness and misbehavior early in life, or any other reason.

Whatever issues you have overcome in the past (and might be continuing to overcome at the present), those issues do not determine your future.  We at the Keith Williams Law Group are living proof of that, and the Keith Williams Law Group Semi-Annual Scholarship therefore seeks to help you as you work to overcome whatever issues you might have faced and to create a bright, successful future for yourself through education.

The Keith Williams Law Group Semi-Annual Scholarship provides a $1,500 scholarship, with two winners to be chosen each year, 1 per semester.  Each winner will receive $1,500 to use toward pursuit of their higher education."
Western Union Foundation Global Scholarship Program,Sponsor: Western Union Foundation,"Biology/Life Sciences, Business/Management, Computer & Information Systems, Engineering, Health Professions...",2500 USD,"The Western Union Foundation Global Scholarship Program (WU Scholars) is a program designed to support young people across the world and their efforts to pursue a post-secondary education.

Selected scholarship recipients will receive $2,500 USD each to contribute toward tuition or school fees at an accredited post-secondary institution and will be selected based on criteria relating to the program's three pillars: Perseverance, Aspiration, and Community.

To be eligible, students must be seeking an undergraduate degree in one of the following categories: science, technology, engineering, mathematics, and business/entrepreneurship.

The application, which requires a letter of recommendation and an academic transcript, opens Wednesday March 8th. The application deadline is Wednesday, April 12 at noon Eastern Standard Time.

For more information and to apply, please visit https://foundation.westernunion.com/wuscholars/index.html. 

Please contact wufoundation@iie.org with any questions."
Fulbright Scholarships For Non-US Citizens,Sponsor: Fulbright Foundation,Unrestricted,"$20,000","The Fulbright Program provides orientation and enrichment opportunities to enhance the Fulbright Program experience in the United States.
More than half of all incoming Fulbright Foreign Students participate in pre-academic training, either English language training or Fulbright Gateway Orientations.
Enrichment Seminars are organized in 16 different cities across the United States. Grantees also participate in specialized workshops with themes, such as From Lab to Market, focusing on research and entrepreneurship, U.S. Disability Rights and Global Health Innovations.
Program funding is provided by the U.S. Congress through an annual appropriation to the U.S. Department of State. Foreign governments, colleges and universities and private foundations also provide direct and indirect support."
American Association Of Critical Care Nurses Critical Care Grant,"Sponsor: Sigma Theta Tau, International Honor Society of Nursing",Nursing,"$10,000 USD",To encourage qualified nurses to contribute to the advancement of nursing through critical care nursing practice research.
Delta Waterfowl And Wetlands Research Station Summer Field Assistantships,Sponsor: Delta Waterfowl Foundation,Unrestricted,"$1,000/month",To support undergraduate students to work as field assistants with graduate students.
Denmark-America Foundation Grant,Sponsor: Denmark-America Foundation,Unrestricted,Variable,To encourage educational exchange between Denmark and the US and broaden understanding between the two countries.
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
John A. Knauss Marine Policy Fellowships,Sponsor: National Oceanic and Atmospheric Administration,Marine Biology,"$49,000 USD","Any student, regardless of citizenship, who is in a graduate or professional program in a marine or aquatic-related field at a United States-accredited institution of higher education may apply to the NSGO through their state Sea Grant program. Applicants from states not served by a Sea Grant program should obtain further information by contacting the Knauss Sea Grant Fellowship Program Manager at the NSGO."
Henry And Chiyo Kuwahara Creative Arts Scholarship,Sponsor: Japanese American Citizens League,"Arts, Visual & Performing","$5,000 USD",Award to encourage creative arts that reflect the Japanese-American experience.
Fulbright Irish Student Awards,Sponsor: Fulbright Commission,Unrestricted,Varied,"The Fulbright Irish Student Awards are grants for Irish citizens, or E.U. citizens resident in the Republic of Ireland for three or more years, to complete post-graduate research in the United States for a period of 4 months / 1 semester, up to 1 year.

Fulbright Student Awardees go to the United States to:
- complete a Masters or PhD at a US institution; degree-seeking awards.
- conduct research as part of a current post-graduate program in Ireland or the E.U.; visiting researcher awards.

Preference will be given to visiting researcher applicants in the latter stages of their PhDs."
Howard Hughes Medical Institute Medical Student Research Fellowship,Sponsor: Howard Hughes Medical Institute,Biology/Life Sciences,"$28,000 USD",Program promotes excellence in biomedical research by helping prospective researchers with exceptional promise to obtain a high-quality graduate education.
Global Nursing Research Grant,"Sponsor: Sigma Theta Tau, International honor Society of Nursing",Nursing,"up to $10,000","Allocation of funds is based on the quality of the proposed research, the future promise of the applicant, and the applicant's research budget. Annual funding for this grant is provided by the Sigma Foundation for Nursing's Patricia E. Thompson Giving Circle donors. Preference will be given to Sigma members, other qualifications being equal. Funds for this grant do not cover expenses incurred prior to the funding date."
Mackenzie King Traveling Scholarships,Sponsor: Mackenzie King Scholarships Board,Finance,"$10,000 Canadian Dollars","Scholarship open to graduates of any Canadian university who engage in (commence or continue) postgraduate study, in the United States or the United Kingdom, of international relations or industrial relations (including the international or industrial relations aspects of law, history, politics and economics)"
Indian Student Assistance Grant in Wisconsin,Sponsor: Wisconsin Higher Educational Aid Board,Unrestricted,"$250 to $1,100 USD","Awards under this program are made to Wisconsin residents who are at least 25% Native American and are undergraduate or graduate students enrolled in a degree or certificate program at University of Wisconsin, Wisconsin Technical College, independent colleges and universities, tribal colleges, or proprietary institutions based in Wisconsin."
Regional Scholar Exchange Program,"Sponsor: Woodrow Wilson International Center for Scholars, Kennan Institute for Advanced",Political Science/Social Science,Variable,"To allow researchers from the Newly Independent States to pursue projects in Washington, D.C."
New York City Government Scholars Program,Sponsor: New York City Department of Personnel,Public / Community Service,"$3,500 USD",To provide college students who are interested in pursuing a  career in government or public service with an opportunity to learn about New York City government.
New York City Urban Fellows,Sponsor: New York City Department of Personnel,Public / Community Service,"$25,000 USD  plus health insurance",To introduce graduates interested in pursuing a career in government or public service to New York City local government.
Columbia University USA Graduate Study Grants,Sponsor: Columbia University,Languages/Linguistics,Variable,To support graduate study.
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Cystic Fibrosis Foundation Clinical Fellowships,Sponsor: Cystic Fibrosis Foundation,Medicine and Health Sciences,"Awards are $47,600 (first year) and $49,250 (second year)",The intent of this award is to encourage specialized training early in a physicians career and to prepare candidates for careers in academic medicine.
Cystic Fibrosis Foundation Clinical Fellowships,Sponsor: Cystic Fibrosis Foundation,Medicine and Health Sciences,"Awards are $47,600 (first year) and $49,250 (second year)",The intent of this award is to encourage specialized training early in a physicians career and to prepare candidates for careers in academic medicine.
Mary Baldwin College International Student Scholarship,Sponsor: Mary Baldwin College,Unrestricted,"$5,000-$8,000 USD a year",Mary Baldwin offers merit-based Baldwin Scholarships to international students. Award is based on TOEFL and or SAT scores and previous academic achievement. The Baldwin scholarship is renewable each year.
Kitchener University Scholarship,Sponsor: Lord Kitchener National Memorial Fund,Unrestricted,600 GBP,A lump sum of £600 awarded at the commencement of an undergraduate course at a UK university.  Scholarship is made upon school report and interview.
Kitchener European Scholarship,Sponsor: Lord Kitchener National Memorial Fund,Unrestricted,"2,000 GBP","A lump sum of £2,000 awarded on the basis of interview and resume to a candidate having been accepted to study for an MBA at INSEAD"
Navarra Award,Sponsor: Foro Europeo - The Business School of Navarra,Finance,"6,950 euros","Scholarship for the Master programs: Master of International Business Administration, Master in Human Resource Management and Master en Dirección de Empresas. The scholarship covers 50% of the tuition fee."
DAAD German Studies Research Grant,Sponsor: German Academic Exchange Service / DAAD,"Economics, History and International Relations","$1,500 to $2,500","Grant designed to encourage research and promote the study of cultural, political, historical, economic, and social aspects of contemporary German affairs from inter- and multidisciplinary perspectives. The grant may be used for short-term research (one to two months) in either North America or Germany."
Bridging Scholarships For Study Abroad In Japan,Sponsor: Association of Teachers of Japanese,Unrestricted,"$2,500 and $4,000 USD",Scholarship opportunity to American students participating in study-abroad programs in Japan. Japanese language study is not a requirement. Applicants must be U.S. citizens or permanent residents and be enrolled in a college or university in the United States.
Grand Valley State University International Merit Scholarship,Sponsor: Grand Valley State University,Unrestricted,"Up to $5,000USD","Every year, Grand Valley awards a limited number of International Merit Scholarships to incoming international students who have demonstrated an outstanding academic achievement record.
Qualified students have a minimum 3.0 grade point average, but decisions are based on academic credentials, scholarship essay and other information provided in the application"
Grand Valley State University International Merit Scholarship,Sponsor: Grand Valley State University,Unrestricted,"Up to $5,000USD","Every year, Grand Valley awards a limited number of International Merit Scholarships to incoming international students who have demonstrated an outstanding academic achievement record.
Qualified students have a minimum 3.0 grade point average, but decisions are based on academic credentials, scholarship essay and other information provided in the application"
Award For Academic Excellence,"Sponsor: State University of New York, Plattsburgh",Unrestricted,"$2,500  USD Renewable",Merit-based award for international freshmen.  Must score at least 1200  on SAT and 27  on ACT
JIE/ CONACYT/ Fulbright-Garcia Robles Fellowship for Doctoral Studies in the Us,Sponsor: CONACYT and Fulbright Commision,Computer & Information Systems,Variable,"To provide Mexican scientists and engineers with an advanced degree so that upon returning to their country they can assist in the development, implementation, execution and evaluation of national science and technology information and policy in Mexico."
London College Msc Strategic Business In It,Sponsor: London College of Business & Computing,Computer & Information Systems and Finance,"5,800 GBP",2 FULL TUITION FEE ONLY SCHOLARSHIPS (LIVING EXPENSES & EXAMINATION FEES NOT INCLUDED) FOR THIS 2 YEAR PROGRAM ACCREDITED TO NCC UNIVERSITY OF PORTSMOUTH.
